filename,timestamp,file_size_bytes
pageviews-20250101-000000.gz,01-Jan-2025 01:08,45795045
pageviews-20250101-010000.gz,01-Jan-2025 02:10,45989756
pageviews-20250101-020000.gz,01-Jan-2025 03:16,43696254
pageviews-20250101-030000.gz,01-Jan-2025 04:09,41181461
pageviews-20250101-040000.gz,01-Jan-2025 04:51,38778133
pageviews-20250101-050000.gz,01-Jan-2025 05:52,37879052
pageviews-20250101-060000.gz,01-Jan-2025 06:53,37767976
pageviews-20250101-070000.gz,01-Jan-2025 08:01,39700556
pageviews-20250101-080000.gz,01-Jan-2025 08:57,42298961
pageviews-20250101-090000.gz,01-Jan-2025 10:01,45646615
pageviews-20250101-100000.gz,01-Jan-2025 11:02,49347716
pageviews-20250101-110000.gz,01-Jan-2025 12:01,52250417
pageviews-20250101-120000.gz,01-Jan-2025 13:13,54381168
pageviews-20250101-130000.gz,01-Jan-2025 14:03,56715542
pageviews-20250101-140000.gz,01-Jan-2025 15:13,58664862
pageviews-20250101-150000.gz,01-Jan-2025 16:02,60555587
pageviews-20250101-160000.gz,01-Jan-2025 17:02,61707825
pageviews-20250101-170000.gz,01-Jan-2025 18:08,62798483
pageviews-20250101-180000.gz,01-Jan-2025 19:02,62841769
pageviews-20250101-190000.gz,01-Jan-2025 20:02,62042989
pageviews-20250101-200000.gz,01-Jan-2025 21:02,61511346
pageviews-20250101-210000.gz,01-Jan-2025 22:02,61523729
pageviews-20250101-220000.gz,01-Jan-2025 23:01,60304415
pageviews-20250101-230000.gz,02-Jan-2025 00:01,56998098
pageviews-20250102-000000.gz,02-Jan-2025 00:51,51627964
pageviews-20250102-010000.gz,02-Jan-2025 02:04,46953919
pageviews-20250102-020000.gz,02-Jan-2025 02:57,44696874
pageviews-20250102-030000.gz,02-Jan-2025 04:01,43760049
pageviews-20250102-040000.gz,02-Jan-2025 05:07,42399807
pageviews-20250102-050000.gz,02-Jan-2025 05:51,42124856
pageviews-20250102-060000.gz,02-Jan-2025 07:20,42861372
pageviews-20250102-070000.gz,02-Jan-2025 08:18,45444587
pageviews-20250102-080000.gz,02-Jan-2025 09:11,48811635
